referencia;recorrencia;situacao;codigo_vendedor;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;servicos.referencia;observacao_fiscal;dia_vencimento;data_primeiro_vencimento;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;;;;;;;;;;
132;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;209,70;;;;;;;;;;
133;1;1;1;0;0;2;5;5;;1;10/10/2024;01/05/2024;;64,90;;;;;;;;;;
134;1;1;1;0;0;2;5;3;PLANO DE 4 CÂMERAS + 4 SENSORES;1;10/10/2024;01/07/2024;;129,80;;;;;;;;;;
135;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
136;1;1;1;0;0;2;5;3;4 canais + alarme + microfone;1;10/10/2024;01/07/2024;;152,30;;;;;;;;;;
137;1;1;1;0;0;2;5;9;;1;10/10/2024;01/06/2024;;119,90;;;;;;;;;;
138;1;1;1;0;0;2;5;3;Plano 4 CÂMERAS + 4 SENSORES DE ALARMES;1;10/10/2024;01/07/2024;;129,80;;;;;;;;;;
139;1;1;1;0;0;2;5;29;;1;10/10/2024;01/06/2024;;79,90;;;;;;;;;;
140;1;1;1;0;0;2;5;29;DEPOSITO;20;10/10/2024;20/02/2024;24/12/2024;69,90;;;;;;;;;;
141;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;08/12/2024;64,90;;;;;;;;;;
142;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;08/12/2024;79,90;;;;;;;;;;
143;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;05/12/2024;64,90;;;;;;;;;;
144;1;1;1;0;0;2;5;3;;1;10/10/2024;01/01/2024;08/12/2024;139,80;;;;;;;;;;
145;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
146;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
147;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;05/12/2024;69,90;;;;;;;;;;
148;1;1;1;0;0;2;5;29;;1;10/10/2024;01/04/2024;02/03/2025;99,90;;;;;;;;;;
149;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
150;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
151;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
152;1;1;1;0;0;2;5;10;;1;10/10/2024;01/01/2024;01/01/2025;154,80;;;;;;;;;;
153;1;1;1;0;0;2;5;3;15 canais;1;10/10/2024;01/01/2024;01/01/2025;245,90;;;;;;;;;;
154;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
155;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/01/2025;119,90;;;;;;;;;;
156;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
157;1;1;1;0;0;2;5;9;ALARME;1;10/10/2024;01/01/2024;01/01/2025;149,80;;;;;;;;;;
158;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
159;1;1;1;0;0;2;5;3;plano: 3 canais + microfone 2 canais + microfone 3 canais;1;10/10/2024;01/01/2024;01/01/2025;209,70;;;;;;;;;;
160;1;1;1;0;0;2;5;3;PLANO 01: 2 CÂMERAS (R$49,90) PLANO 2: 14 CÂMERAS (R$232,40);1;10/10/2024;01/01/2024;01/01/2025;282,30;;;;;;;;;;
161;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
162;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
163;1;1;1;0;0;2;5;3;16 canais;1;10/10/2024;01/01/2024;01/01/2025;284,00;;;;;;;;;;
164;1;1;1;0;0;2;5;3;13 canais;1;10/10/2024;01/01/2024;01/01/2025;179,90;;;;;;;;;;
165;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
166;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
167;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/01/2025;69,90;;;;;;;;;;
168;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/01/2025;99,90;;;;;;;;;;
169;1;1;1;0;0;2;5;3;14 CÂMERAS;1;10/10/2024;01/01/2024;01/02/2025;229,90;;;;;;;;;;
170;1;1;1;0;0;2;5;10;;1;10/10/2024;01/01/2024;01/02/2025;84,90;;;;;;;;;;
171;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/02/2025;79,90;;;;;;;;;;
172;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/02/2025;99,90;;;;;;;;;;
173;1;1;1;0;0;2;5;3;10 câmeras;1;10/10/2024;01/01/2024;01/02/2025;164,90;;;;;;;;;;
174;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/02/2025;69,90;;;;;;;;;;
175;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/02/2025;69,90;;;;;;;;;;
176;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/02/2025;142,00;;;;;;;;;;
177;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/02/2025;69,90;;;;;;;;;;
178;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/02/2025;79,90;;;;;;;;;;
179;1;1;1;0;0;2;5;3;17 canais + alarme;1;10/10/2024;01/01/2024;01/03/2025;431,50;;;;;;;;;;
180;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/03/2025;69,90;;;;;;;;;;
181;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;01/03/2025;49,90;;;;;;;;;;
182;1;1;1;0;0;2;5;3;11 canais;1;10/10/2024;01/01/2024;01/03/2025;231,00;;;;;;;;;;
183;1;1;1;0;0;2;5;9;ALARME;1;10/10/2024;01/01/2024;01/03/2025;209,90;;;;;;;;;;
184;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/03/2025;119,90;;;;;;;;;;
185;1;1;1;0;0;2;5;3;12 CANAIS;1;10/10/2024;01/01/2024;01/03/2025;199,80;;;;;;;;;;
186;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/03/2025;119,90;;;;;;;;;;
187;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/03/2025;119,90;;;;;;;;;;
188;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/03/2025;99,90;;;;;;;;;;
189;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/03/2025;69,90;;;;;;;;;;
190;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/03/2025;79,90;;;;;;;;;;
191;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/03/2025;119,90;;;;;;;;;;
192;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/04/2025;144,90;;;;;;;;;;
193;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/04/2025;119,90;;;;;;;;;;
194;1;1;1;0;0;2;5;3;44 CANAIS;1;10/10/2024;01/01/2024;01/04/2025;729,90;;;;;;;;;;
195;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/04/2025;99,90;;;;;;;;;;
196;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/04/2025;79,90;;;;;;;;;;
197;1;1;1;0;0;2;5;3;PLANO DE 7 CANAIS;1;10/10/2024;01/01/2024;01/04/2025;109,90;;;;;;;;;;
198;1;1;1;0;0;2;5;3;20 CÂMERAS;1;10/10/2024;01/01/2024;01/04/2025;490,00;;;;;;;;;;
199;1;1;1;0;0;2;5;3;7 canais;1;10/10/2024;01/01/2024;01/04/2025;122,50;;;;;;;;;;
200;1;1;1;0;0;2;5;3;10 canais;1;10/10/2024;01/01/2024;01/04/2025;169,90;;;;;;;;;;
201;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/04/2025;69,90;;;;;;;;;;
202;1;1;1;0;0;2;5;3;7 canais;1;10/10/2024;01/01/2024;01/04/2025;122,50;;;;;;;;;;
203;1;1;1;0;0;2;5;3;15 canais;1;10/10/2024;01/01/2024;01/04/2025;266,25;;;;;;;;;;
204;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/04/2025;99,90;;;;;;;;;;
205;1;1;1;0;0;2;5;3;35 canais;1;10/10/2024;01/01/2024;01/04/2025;641,55;;;;;;;;;;
206;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/04/2025;99,90;;;;;;;;;;
207;1;1;1;0;0;2;5;10;;1;10/10/2024;01/01/2024;01/04/2025;99,90;;;;;;;;;;
208;1;1;1;0;0;2;5;8;+ alarme;1;10/10/2024;01/01/2024;01/05/2025;149,80;;;;;;;;;;
209;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/05/2025;69,90;;;;;;;;;;
210;1;1;1;0;0;2;5;3;10 canais;1;10/10/2024;01/01/2024;01/05/2025;179,80;;;;;;;;;;
211;1;1;1;0;0;2;5;8;+ alarme;1;10/10/2024;01/01/2024;01/05/2025;199,90;;;;;;;;;;
212;1;1;1;0;0;2;5;9;ALARME;1;10/10/2024;01/01/2024;01/05/2025;149,90;;;;;;;;;;
213;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/05/2025;99,90;;;;;;;;;;
214;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/05/2025;119,90;;;;;;;;;;
215;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/05/2025;79,90;;;;;;;;;;
216;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/05/2025;99,90;;;;;;;;;;
217;1;1;1;0;0;2;5;3;67 canais;1;10/10/2024;01/01/2024;01/05/2025;1.005,00;;;;;;;;;;
218;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;01/05/2025;69,90;;;;;;;;;;
219;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/05/2025;79,90;;;;;;;;;;
220;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/05/2025;79,90;;;;;;;;;;
221;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;10/05/2025;99,90;;;;;;;;;;
222;1;1;1;0;0;2;5;3;7 canais;1;10/10/2024;01/01/2024;01/05/2025;109,90;;;;;;;;;;
223;1;1;1;0;0;2;5;8;+ alarme;1;10/10/2024;01/01/2024;01/05/2025;140,00;;;;;;;;;;
224;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/05/2025;99,90;;;;;;;;;;
225;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/06/2025;99,90;;;;;;;;;;
226;1;1;1;0;0;2;5;3;48 canais;1;10/10/2024;01/01/2024;01/06/2025;633,00;;;;;;;;;;
227;1;1;1;0;0;2;5;3;PLANO DE 10 CANAIS;1;10/10/2024;01/01/2024;01/06/2025;169,90;;;;;;;;;;
228;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/06/2025;79,90;;;;;;;;;;
229;1;1;1;0;0;2;5;3;8 câmeras coloridas: R$22,00 cada 2 câmeras varifocais: R$22,00 cada 27 câmeras padrão: R$15,00 cada foi o total de 37 câmeras, valor total mensal R$625,00;1;10/10/2024;01/01/2024;10/06/2025;625,00;;;;;;;;;;
230;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;01/06/2025;64,90;;;;;;;;;;
231;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/06/2025;69,90;;;;;;;;;;
232;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;01/06/2025;99,90;;;;;;;;;;
233;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;01/06/2025;119,90;;;;;;;;;;
234;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/06/2025;79,90;;;;;;;;;;
