cnpj_cpf_cliente,referencia,referencia_busca_cliente,data_primeiro_vencimento,dia_vencimento,descricao,numero,codigo_vendedor,data_vigencia_inicial,data_vigencia_final,situacao,recorrencia,tipo_faturamento,indice_reajuste,codigo_banco_conta,codigo_forma_pagamento,codigo_plano_contas,codigo_condicao_pagamento,observacao_fiscal,observacao_nao_fiscal,data_proximo_reajuste,servicos.referencia,servicos.quantidade,servicos.valor_unitario,servicos.complemento,tipo_desconto_boleto_ate_vencimento,valor_desconto_boleto_ate_vencimento,id_importacao_pessoa,Mensagem,Id
,222,1,28/06/2025,28,,429,33,05/08/2023,,,1,1,0,2,5,133,0,,,01/08/2025,95,3,"51,91",,0,0,6827,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,1,1,20/06/2025,20,,11,32,01/07/2019,,,1,1,0,2,5,7,0,,,02/07/2025,4,1,"465,38",,0,0,7000,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,8,1,02/06/2025,2,,189,30,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,3,"41,47",,0,0,7184,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,20,1,02/06/2025,2,,201,30,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,4,"98,14",,0,0,7199,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,50,1,02/06/2025,2,,231,17,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,1,"320,59",,0,0,6334,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,01/07/2019,,,1,1,0,2,5,133,0,,,02/07/2025,4,3,"72,99",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,01/01/2022,,,1,1,0,2,5,133,0,,,03/01/2026,95,4,"18,1",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,02/01/2022,,,1,1,0,2,5,133,0,,,03/01/2026,117,3,"10,66",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,02/01/2024,,,1,1,0,2,5,133,0,,,03/01/2026,95,1,"40,43",,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,56,1,02/06/2025,2,,80,17,01/08/2024,,,1,1,0,2,5,133,0,,,,95,2,40,,0,0,6375,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
