referencia_busca_cliente;referencia;numero;recorrencia;;id_importacao_pessoa;Plano;servicos.referencia;servicos.quantidade;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;Último Reajuste;data_proximo_reajuste;indice_reajuste;codigo_vendedor;codigo_forma_pagamento;codigo_banco_conta;tipo_faturamento
1;740;740;1;;243;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;21/03/2025;17/04/2025;295,00;2;2/05/2025;;;1;1;5;3;0
1;742;742;1;;216;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;25/03/2025;;475,00;15;15/05/2025;;;1;1;5;3;0
1;747;747;1;;244;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;03/04/2025;;500,00;2;2/05/2025;;;1;1;5;3;0
1;751;751;1;;245;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;03/04/2025;;400,00;2;2/05/2025;;;1;1;5;3;0
1;753;753;1;;245;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;03/04/2025;;199,00;2;2/05/2025;;;1;1;5;3;0
1;756;756;1;;246;Discador Preditivo (JT Tecnologia) - Mensal;6;1;08/04/2025;30/05/2025;250,00;2;2/05/2025;;;1;1;5;3;0
1;759;759;1;;247;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/04/2025;07/05/2025;450,00;2;2/05/2025;;;1;1;5;3;0
1;762;762;1;;248;Discador Preditivo (JT Tecnologia) - Mensal;6;1;14/04/2025;;1100,00;2;2/05/2025;;;1;1;5;3;0
1;764;764;1;;248;Chatbot (JT Tecnologia) - Mensal;4;1;14/04/2025;;500,00;2;2/05/2025;;;1;1;5;3;0
1;766;766;1;;246;Discador Preditivo (JT Tecnologia) - Mensal;6;1;14/04/2025;30/05/2025;500,00;2;2/05/2025;;;1;1;5;3;0
1;769;769;1;;249;Ura Reversa (JT Tecnologia) - Mensal;10;1;15/04/2025;;790,00;15;15/05/2025;;;1;1;5;3;0
1;771;771;1;;240;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/04/2025;;600,00;5;5/05/2025;;;1;1;5;3;0
1;774;774;1;;251;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;28/04/2025;;380,00;15;15/05/2025;;;1;1;5;3;0
1;780;780;1;;254;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/04/2025;;220,00;5;5/05/2025;;;1;1;5;3;0
1;783;783;1;;255;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;05/05/2025;;400,00;2;05/05/2025;;;1;1;5;3;0
1;786;786;1;;92;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/05/2025;;220,00;15;15/05/2025;;;1;1;5;3;0
1;793;793;1;;256;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/05/2025;;450,00;2;07/05/2025;;;1;1;5;3;0
1;795;795;1;;242;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;02/06/2025;;370,00;2;02/06/2025;;;1;1;5;3;0
1;798;798;1;;257;Discador Preditivo (JT Tecnologia) - Mensal;6;1;08/05/2025;;490,00;15;15/05/2025;;;1;1;5;3;0
1;800;800;1;;246;Discador Preditivo (JT Tecnologia) - Mensal;6;1;30/05/2025;;1800,00;2;30/05/2025;;;1;1;5;3;0
1;803;803;1;;258;Discador Preditivo (JT Tecnologia) - Mensal;6;1;09/05/2025;;750,00;15;15/05/2025;;;1;1;5;3;0
1;806;806;1;;259;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;09/05/2025;;400,00;15;15/05/2025;;;1;1;5;3;0
